,"Sarkozy","Bayrou","Royal","Le Pen","Besanc.","Villiers","Voynet","Laguiller","Bove","Buffet","Nihous","Schivardi"
"Alsace",362391,214259,171282,135730,33310,22492,20382,13821,13758,6100,5142,2522
"Aquitaine",532127,417546,557300,168664,78230,34028,28285,22046,27941,41791,35300,7572
"Auvergne",238152,169395,225477,78704,41522,18730,12090,12936,13532,21920,12474,4207
"Bourgogne",297544,175213,241094,119041,42246,24971,13690,14440,12296,18154,12079,3608
"Bretagne",557507,451988,564100,143926,94205,41212,39026,25662,28484,31860,21207,5169
"Centre",460425,278175,345352,168912,65347,45720,22655,22279,17395,30003,20567,5696
"Cham-Ard",246680,122642,160280,114527,33424,20455,10727,13560,7414,12465,9016,2270
"Corse",56819,18979,33493,23432,5941,1908,2119,1346,1659,5163,2260,450
"Fr-Comte",212358,114148,165243,94212,30672,16361,12879,10880,10365,9204,7814,2446
"Ile de Fr",1931429,1143081,1593033,430553,181247,89498,89885,52965,57453,110967,19890,12386
"Lang-Rous",470017,234739,395509,214468,62597,28166,20787,17175,27412,38590,21356,11436
"Limousin",123870,82445,142237,38525,24040,10789,6144,6566,6629,15695,8029,2284
"Lorraine",403919,250195,315596,196696,70940,29183,21562,25574,16094,19229,10378,4211
"Midi-Pyr",458093,341651,542038,154777,69177,30850,25267,18623,33687,34076,25280,8778
"Nord-PdC",639390,340679,573071,335855,127881,40702,31388,52695,24591,74027,43595,6348
"Basse-Nor",280914,184256,209308,88569,43997,25722,14389,14652,13180,11211,21449,3090
"Haute-Nor",309924,184615,257664,126795,58312,25692,15707,20048,12563,26376,13717,3604
"Pays-Loire",636934,457560,552280,158844,93685,107895,38952,28481,25811,26737,26674,6481
"Picardie",331053,161236,251862,168699,57769,26731,14219,23982,11619,22334,20439,4189
"Poit.-Cha",304493,194126,322212,88138,45638,38735,16333,13949,13934,15901,21571,3882
"PACA",1010234,419161,579036,377831,88331,54851,38339,26467,36963,61968,26538,9935
"Rhone-Alp",1121615,689984,807220,360646,123776,75959,63032,38114,51441,57654,32624,10969
"Outremer",337711,103933,398110,36714,22159,5139,12383,10234,14904,14062,2698,1772
